Subject,Predicate,Object,Decision,Notes:
Pathway,hasEvent,ReactionLikeEvent,Include,
ReactionLikeEvent,input,SimpleEntity,Include,
ReactionLikeEvent,output,SimpleEntity,Include,
ReactionLikeEvent,precedingEvent,ReactionLikeEvent,Include,
ReactionLikeEvent,input,EntityWithAccessionedSequence,Include,
ReactionLikeEvent,output,EntityWithAccessionedSequence,Include,
ReactionLikeEvent,input,GenomeEncodedEntity,Include,
ReactionLikeEvent,output,GenomeEncodedEntity,Include,
Pathway,hasEvent,Pathway,Include,
ReactionLikeEvent,compartment,GO_Term,Include,
Pathway,compartment,GO_Term,Include,
Pathway,goBiologicalProcess,GO_BiologicalProcess,Include,
ReactionLikeEvent,goBiologicalProcess,GO_BiologicalProcess,Include,
ReactionLikeEvent,precedingEvent,ReactionLikeEvent,Include,
Pathway,precedingEvent,Pathway,Include,
ReactionLikeEvent,input,Polymer,Include,
ReactionLikeEvent,output,Polymer,Include,
ReactionLikeEvent,input,Drug,Include,
ReactionLikeEvent,output,Drug,Include,
SimpleEntity,cellType,CellType,Include,
EntityWithAccessionedSequence,cellType,CellType,Include,
Drug,cellType,CellType,Include,
Pathway,disease,Disease,Include/SwitchSO,
ReactionLikeEvent,disease,Disease,Include/SwitchSO,
Complex,hasComponent,EntityWithAccessionedSequence,Include,
Complex,species,Species,Include,
Complex,compartment,GO_Term,Include,
Complex,hasComponent,Complex,Include,
ReactionLikeEvent,output,Complex,Include,
ReactionLikeEvent,input,Complex,Include,
Complex,hasComponent,SimpleEntity,Include,
Complex,hasComponent,GenomeEncodedEntity,Include,
Complex,includedLocation,GO_Term,Include,
Complex,disease,Disease,Include/SwitchSO,
Complex,hasComponent,Polymer,Include,
Regulation,regulator,Complex,RDF_edges/Include,
Regulation,regulator,EntityWithAccessionedSequence,RDF_edges/Include,
Regulation,regulator,SimpleEntity,RDF_edges/Include,
Regulation,regulator,Drug,RDF_edges/Include,
Regulation,regulator,GenomeEncodedEntity,RDF_edges/Include,
